utility_id,utility_name,country,coal_mw,cf_uniform,cf_country,cf_utility,cf_utility_source,coal_twh_uniform,coal_share_uniform,coal_mtco2_uniform,coal_twh_country,coal_share_country,coal_mtco2_country,coal_twh_utility,coal_share_utility,coal_mtco2_utility,err_country_pct,err_utility_pct
ID001,PLN,ID,35000,0.55,0.49,0.49,reported,168.63,67.8,153.45,150.23,65.2,136.71,150.23,65.2,136.71,-10.9,-10.9
IN001,NTPC,IN,65194,0.55,0.69,0.77,reported,314.1,86.7,285.84,394.06,89.1,358.59,439.75,90.1,400.17,25.5,40.0
IN002,Tata Power,IN,7800,0.55,0.69,0.69,country,37.58,78.1,34.2,47.15,81.7,42.9,47.15,81.7,42.9,25.4,25.4
IN003,Adani Power,IN,15210,0.55,0.69,0.647,reported,73.28,99.9,66.69,91.94,99.9,83.66,86.21,99.9,78.45,25.4,17.6
IN005,JSW Energy,IN,5658,0.55,0.69,0.69,country,27.26,78.7,24.81,34.2,82.3,31.12,34.2,82.3,31.12,25.4,25.4
IN008,NLC India,IN,1660,0.55,0.69,0.65,reported,8.0,74.4,7.28,10.03,78.4,9.13,9.45,77.4,8.6,25.4,18.1
IN010,Torrent Power,IN,362,0.55,0.69,0.81,reported,1.74,10.2,1.59,2.19,12.5,1.99,2.57,14.4,2.34,25.2,47.2
MY001,TNB,MY,6810,0.55,0.67,0.67,country,32.81,51.4,29.86,39.97,56.3,36.37,39.97,56.3,36.37,21.8,21.8
PH001,SMC Global Power,PH,3756,0.55,0.6,0.6,country,18.1,77.5,16.47,19.74,79.0,17.96,19.74,79.0,17.96,9.0,9.0
PH002,Aboitiz Power,PH,3073,0.55,0.6,0.6,country,14.81,74.6,13.47,16.15,76.2,14.7,16.15,76.2,14.7,9.1,9.1
TH001,EGAT,TH,2220,0.55,0.55,0.55,country,10.7,20.3,9.73,10.7,20.3,9.73,10.7,20.3,9.73,0.0,0.0
TH003,GPSC,TH,900,0.55,0.55,0.55,country,4.34,16.9,3.95,4.34,16.9,3.95,4.34,16.9,3.95,0.0,0.0
TH004,RATCH Group,TH,742,0.55,0.55,0.55,country,3.57,11.7,3.25,3.57,11.7,3.25,3.57,11.7,3.25,0.0,0.0
VN001,EVN,VN,12678,0.55,0.64,0.64,country,61.08,70.3,55.59,71.08,73.4,64.68,71.08,73.4,64.68,16.4,16.4
