utility_id,utility_name,country,tier,pass_count,is_pure_re,b1_passed,coal_mw,gas_mw,oil_mw,thermal_mw,re_mw,re_share_pct,coal_twh,gas_twh,re_twh,total_twh,coal_share_gen_pct,re_share_gen_pct,re_coal_ratio,coal_mtco2,total_mtco2,coal_share_5yr_pct,ebitda_usd_m,clean_capex_pct,debt_to_ebitda,debt_headroom_x,coal_drag_score,coal_drag_level,cce_high_pct
ID001,PLN,ID,Low-medium,2,False,False,35000,18058,3426,56484,476,15.1,168.6,79.1,1.0,254.7,66.2,0.4,0.006,153.5,189.8,51.9,6170,15.0,5.32,-1.32,3,High,195.2
IN001,NTPC,IN,Medium,3,False,False,65194,6511,0,71705,10175,16.3,314.1,28.5,18.7,361.3,86.9,5.2,0.059,285.8,297.2,68.1,6036,60.0,4.6,-0.6,2,Medium,439.0
IN002,Tata Power,IN,Medium,3,False,False,7800,108,0,7908,5220,41,37.6,0.5,10.1,48.2,78.0,21.0,0.27,34.2,34.4,61.1,1722,,4.34,-0.34,2,Medium,180.1
IN003,Adani Power,IN,Medium,3,False,False,15210,0,0,15210,40,0.3,73.3,0.0,0.1,73.4,99.9,0.1,0.001,66.7,66.7,78.3,3367,,1.24,2.76,1,Low,162.4
IN004,Adani Green Energy,IN,Medium-high,4,True,True,0,0,0,0,15816,100,0.0,0.0,29.9,29.9,0.0,100.0,,0.0,0.0,0.0,1222,100.0,7.84,-3.84,1,Low,0
IN005,JSW Energy,IN,Medium,3,False,False,5658,0,0,5658,3826,48,27.3,0.0,9.5,36.7,74.2,25.8,0.347,24.8,24.8,58.2,714,,8.11,-4.11,2,Medium,194.6
IN007,NHPC,IN,Medium-high,4,True,True,0,0,0,0,561,100,0.0,0.0,1.0,1.0,0.0,100.0,,0.0,0.0,0.0,778,100.0,5.98,-1.98,1,Low,0
IN008,NLC India,IN,Medium,3,False,False,1660,0,0,1660,1431,21.3,8.0,0.0,2.6,10.5,75.8,24.2,0.319,7.3,7.3,59.4,775,,3.44,0.56,1,Low,243.4
IN009,SJVN,IN,Medium-high,4,True,True,0,0,0,0,1174,100,0.0,0.0,2.1,2.1,0.0,100.0,,0.0,0.0,0.0,265,64.0,12.11,-8.11,1,Low,0
IN010,Torrent Power,IN,Medium,3,False,False,362,2730,0,3092,1746,36,1.7,12.0,3.9,17.6,9.9,22.0,2.216,1.6,6.4,7.8,623,,1.69,2.31,0,None,58.5
MY001,TNB,MY,Medium,3,False,False,6810,6500,200,13510,1304,23.7,32.8,28.5,2.5,64.1,51.2,3.9,0.075,29.9,41.5,40.1,4464,39.0,2.88,1.12,1,Low,65.1
PH001,SMC Global Power,PH,Low-medium,2,False,False,3756,1200,0,4956,0,9.3,18.1,5.3,0.0,23.4,77.5,0.0,0.0,16.5,18.6,60.7,991,23.3,5.28,-1.28,3,High,128.7
PH002,Aboitiz Power,PH,Medium-high,4,False,False,3073,1040,513,4626,252,24.3,14.8,4.6,0.4,20.7,71.5,2.1,0.03,13.5,16.0,56.0,1253,60.0,3.32,0.68,1,Low,32.4
SG001,Sembcorp,SG,Highest,4,False,True,0,8015,0,8015,15549,67.7,0.0,35.1,33.8,68.9,0.0,49.1,,0.0,14.0,0.0,1268,75.0,5.4,-1.4,1,Low,53.6
TH001,EGAT,TH,Medium,3,False,False,2220,9552,319,12091,106,25.1,10.7,41.8,0.2,53.3,20.1,0.4,0.02,9.7,26.9,15.7,4230,,1.89,2.11,0,None,61.8
TH002,Gulf Energy,TH,Medium-high,4,False,True,0,14388,0,14388,1064,7.0,0.0,63.0,2.5,65.6,0.0,3.9,,0.0,25.2,0.0,1132,75.0,7.9,-3.9,1,Low,88.1
TH003,GPSC,TH,Low-medium,2,False,False,900,2800,0,3700,4667,52,4.3,12.3,8.3,24.9,17.4,33.4,1.916,3.9,8.9,13.6,598,,6.28,-2.28,1,Low,106.6
TH004,RATCH Group,TH,Low-medium,2,False,False,742,5780,0,6522,905,27.5,3.6,25.3,2.3,31.2,11.5,7.5,0.652,3.3,13.4,9.0,461,,5.43,-1.43,1,Low,105.7
TH005,B.Grimm Power,TH,Medium-high,4,False,True,0,2920,13,2933,1073,28,0.0,12.8,1.9,14.7,0.0,12.9,,0.0,5.1,0.0,425,67.0,7.87,-3.87,1,Low,100.6
VN001,EVN,VN,Medium,3,False,False,12678,5000,0,17678,2000,39.3,61.1,21.9,3.9,86.9,70.3,4.5,0.065,55.6,64.3,55.1,3280,75.0,4.59,-0.59,2,Medium,263.0
